ANNEE,SUP (Ha),REND (Kg/Ha),PROD (T)
1957,1779,2190,3897
1958,2590,1206,3124
1959,4132,912,3770
1960,6946,684,4752
1961,10269,242,2482
1962,13999,321,4488
1963,16238,250,4051
1964,37254,102,3813
1965,78591,82,6435
1966,36551,247,9029
1967,28789,423,12175
1968,4115,6579,27072
1969,32780,731,23961
1970,38890,1000,38890
1971,54285,874,47460
1972,46970,1060,49795
1973,54555,800,43670
1974,48450,631,30590
1975,30990,753,23350
1976,26117,836,21845
1977,20423,789,16116
1978,26223,712,18677
1979,32372,797,25814
1980,69540,385,26766
1981,74257,208,15438
1982,74373,413,30737
1983,79656,558,44470
1984,83394,1057,88125
1985,91625,975,89315
1986,102709,1293,132761
1987,68836,1020,70202
1988,97632,1114,108752
1989,90451,1157,104660
1990,122793,1192,146406
1991,151317,1171,177123
1992,128817,1254,161595
1993,152191,1790,272371
1994,186840,1405,262543
1995,270395,1276,345000
1996,358860,1040,430398
1997,376171,874,386402
1998,375623,895,336165
1999,370477,980,363159
2000,319308,1057,337428
2001,383778,1088,417384
2002,305236,1234,376738
2003,314096,1216,381927
2004,309139,1242,383865
2005,156350,1046,163468
2006,196490,1095,215230
2007,204680,1103,225729
2008,202482,1046,211751
2009,150225,1052,157968
2010,137086,999,136958
2011,208057,961,200000
2012,335141,716,240028
2013,347023,886,307353
2014,405400,970,393368
2015,313535,859,269212
2016,418943,1077,451124
2017,530145,1127,597986
2018,623949,1086,677654
2019,665703,1074,714714
2020,614297,1190,731057
2021,638948,1199,766251
